bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1994573,3158346,text,101611,text/html,Introduced,https://legiscan.com/IA/text/HF864/id/3158346,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF864.html
1994627,3158392,text,34670,text/html,Introduced,https://legiscan.com/IA/text/HF865/id/3158392,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF865.html
1994627,3225597,text,16274,text/html,Enrolled,https://legiscan.com/IA/text/HF865/id/3225597,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF865.html
1994453,3158244,text,21643,text/html,Introduced,https://legiscan.com/IA/text/HF866/id/3158244,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF866.html
1994640,3158403,text,33108,text/html,Introduced,https://legiscan.com/IA/text/HF867/id/3158403,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF867.html
1994755,3158495,text,24938,text/html,Introduced,https://legiscan.com/IA/text/HF868/id/3158495,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF868.html
1994549,3158324,text,73231,text/html,Introduced,https://legiscan.com/IA/text/HF869/id/3158324,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF869.html
1994489,3158272,text,110359,text/html,Introduced,https://legiscan.com/IA/text/HF870/id/3158272,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF870.html
1994489,3180187,text,48806,text/html,Amended,https://legiscan.com/IA/text/HF870/id/3180187,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF870.html
1994489,3214464,text,47828,text/html,Enrolled,https://legiscan.com/IA/text/HF870/id/3214464,https://www.legis.iowa.gov/docs/publications/LGE/91/attachments/HF870.html
1994699,3158451,text,83523,text/html,Introduced,https://legiscan.com/IA/text/HF871/id/3158451,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF871.html
1994484,3158267,text,17566,text/html,Introduced,https://legiscan.com/IA/text/HF872/id/3158267,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF872.html
1994484,3189336,text,12993,text/html,Amended,https://legiscan.com/IA/text/HF872/id/3189336,https://www.legis.iowa.gov/docs/publications/LGR/91/attachments/HF872.html
1994432,3158226,text,75258,text/html,Introduced,https://legiscan.com/IA/text/HF873/id/3158226,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF873.html
1994513,3158291,text,133817,text/html,Introduced,https://legiscan.com/IA/text/HF874/id/3158291,https://www.legis.iowa.gov/docs/publications/LGI/91/attachments/HF874.html
